2023-12-29 06:16:01.624212 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:04.833512 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:04.836509 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:04.930058 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:04.934061 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:04.937062 - Person: Unknown, Confidence: -21%
2023-12-29 06:16:05.028064 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:05.031060 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:05.034059 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:05.120059 - Person: Hieu, Confidence: 2%
2023-12-29 06:16:05.124058 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:05.128064 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:05.210550 - Person: Unknown, Confidence: -30%
2023-12-29 06:16:05.213546 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:05.217553 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:05.303549 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:05.306547 - Person: Unknown, Confidence: -16%
2023-12-29 06:16:05.386547 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:05.389549 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:05.477555 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:05.480549 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:05.483546 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:05.573574 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:05.577573 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:05.665639 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:05.669636 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:05.672634 - Person: Unknown, Confidence: -19%
2023-12-29 06:16:05.757644 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:05.760635 - Person: Unknown, Confidence: -24%
2023-12-29 06:16:05.843645 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:05.846635 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:05.923639 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:05.926637 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:06.001626 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:06.005623 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:06.093627 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:06.096626 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:06.174629 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:06.178623 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:06.256628 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:06.259652 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:06.338627 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:06.341626 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:06.443629 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:06.446625 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:06.523625 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:06.527626 - Person: Unknown, Confidence: -32%
2023-12-29 06:16:06.605630 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:06.609632 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:06.688212 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:06.691211 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:06.767214 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:06.771212 - Person: Unknown, Confidence: -23%
2023-12-29 06:16:06.848236 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:06.851235 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:06.932211 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:06.936212 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:07.022212 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:07.025209 - Person: Unknown, Confidence: -21%
2023-12-29 06:16:07.120208 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:07.124213 - Person: Unknown, Confidence: -24%
2023-12-29 06:16:07.218262 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:07.227207 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:07.311681 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:07.315685 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:07.404693 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:07.407686 - Person: Unknown, Confidence: -33%
2023-12-29 06:16:07.501682 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:07.504683 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:07.602682 - Person: Another, Confidence: 3%
2023-12-29 06:16:07.606680 - Person: Unknown, Confidence: -31%
2023-12-29 06:16:07.610689 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:07.700689 - Person: Hieu, Confidence: 1%
2023-12-29 06:16:07.704683 - Person: Unknown, Confidence: -20%
2023-12-29 06:16:07.709681 - Person: Another, Confidence: 3%
2023-12-29 06:16:07.801688 - Person: Unknown, Confidence: -1%
2023-12-29 06:16:07.805684 - Person: Someone, Confidence: 5%
2023-12-29 06:16:07.809681 - Person: Another, Confidence: 4%
2023-12-29 06:16:07.905684 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:07.909680 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:07.913682 - Person: Another, Confidence: 4%
2023-12-29 06:16:08.003681 - Person: Someone, Confidence: 7%
2023-12-29 06:16:08.007680 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:08.099680 - Person: Hieu, Confidence: 9%
2023-12-29 06:16:08.104686 - Person: Someone, Confidence: 4%
2023-12-29 06:16:08.108682 - Person: Another, Confidence: 4%
2023-12-29 06:16:08.205682 - Person: Hieu, Confidence: 3%
2023-12-29 06:16:08.210684 - Person: Someone, Confidence: 7%
2023-12-29 06:16:08.214686 - Person: Another, Confidence: 5%
2023-12-29 06:16:08.309683 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:08.314682 - Person: Someone, Confidence: 6%
2023-12-29 06:16:08.318681 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:08.426693 - Person: Hieu, Confidence: 3%
2023-12-29 06:16:08.431684 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:08.435681 - Person: Another, Confidence: 4%
2023-12-29 06:16:08.533309 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:08.537309 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:08.541305 - Person: Another, Confidence: 4%
2023-12-29 06:16:08.630309 - Person: Hieu, Confidence: 1%
2023-12-29 06:16:08.635305 - Person: Unknown, Confidence: -16%
2023-12-29 06:16:08.640308 - Person: Another, Confidence: 3%
2023-12-29 06:16:08.743311 - Person: Someone, Confidence: 6%
2023-12-29 06:16:08.747316 - Person: Another, Confidence: 7%
2023-12-29 06:16:08.841307 - Person: Hieu, Confidence: 8%
2023-12-29 06:16:08.845305 - Person: Someone, Confidence: 8%
2023-12-29 06:16:08.849308 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:08.951310 - Person: Hieu, Confidence: 13%
2023-12-29 06:16:08.955303 - Person: Someone, Confidence: 10%
2023-12-29 06:16:08.959308 - Person: Another, Confidence: 7%
2023-12-29 06:16:09.077304 - Person: Hieu, Confidence: 14%
2023-12-29 06:16:09.081305 - Person: Someone, Confidence: 7%
2023-12-29 06:16:09.086311 - Person: Another, Confidence: 2%
2023-12-29 06:16:09.230307 - Person: Someone, Confidence: 10%
2023-12-29 06:16:09.234310 - Person: Another, Confidence: 7%
2023-12-29 06:16:09.345305 - Person: Hieu, Confidence: 7%
2023-12-29 06:16:09.349307 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:09.353304 - Person: Another, Confidence: 8%
2023-12-29 06:16:09.450846 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:09.455855 - Person: Someone, Confidence: 9%
2023-12-29 06:16:09.460846 - Person: Another, Confidence: 10%
2023-12-29 06:16:09.558854 - Person: Hieu, Confidence: 4%
2023-12-29 06:16:09.562845 - Person: Someone, Confidence: 3%
2023-12-29 06:16:09.566849 - Person: Another, Confidence: 5%
2023-12-29 06:16:09.669848 - Person: Unknown, Confidence: -1%
2023-12-29 06:16:09.673845 - Person: Someone, Confidence: 5%
2023-12-29 06:16:09.677845 - Person: Another, Confidence: 8%
2023-12-29 06:16:09.779389 - Person: Hieu, Confidence: 14%
2023-12-29 06:16:09.784386 - Person: Someone, Confidence: 10%
2023-12-29 06:16:09.788387 - Person: Another, Confidence: 8%
2023-12-29 06:16:09.892390 - Person: Someone, Confidence: 9%
2023-12-29 06:16:09.896387 - Person: Another, Confidence: 6%
2023-12-29 06:16:09.999391 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:10.003390 - Person: Someone, Confidence: 6%
2023-12-29 06:16:10.007391 - Person: Another, Confidence: 5%
2023-12-29 06:16:10.124394 - Person: Hieu, Confidence: 12%
2023-12-29 06:16:10.129390 - Person: Someone, Confidence: 11%
2023-12-29 06:16:10.133393 - Person: Another, Confidence: 7%
2023-12-29 06:16:10.247386 - Person: Someone, Confidence: 8%
2023-12-29 06:16:10.252389 - Person: Another, Confidence: 1%
2023-12-29 06:16:10.351389 - Person: Hieu, Confidence: 13%
2023-12-29 06:16:10.356395 - Person: Someone, Confidence: 6%
2023-12-29 06:16:10.360393 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:10.477387 - Person: Hieu, Confidence: 11%
2023-12-29 06:16:10.481392 - Person: Someone, Confidence: 7%
2023-12-29 06:16:10.485387 - Person: Another, Confidence: 5%
2023-12-29 06:16:10.583393 - Person: Hieu, Confidence: 3%
2023-12-29 06:16:10.587390 - Person: Someone, Confidence: 7%
2023-12-29 06:16:10.592387 - Person: Another, Confidence: 6%
2023-12-29 06:16:10.699391 - Person: Hieu, Confidence: 4%
2023-12-29 06:16:10.703390 - Person: Someone, Confidence: 11%
2023-12-29 06:16:10.707393 - Person: Another, Confidence: 5%
2023-12-29 06:16:10.814391 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:10.818387 - Person: Someone, Confidence: 4%
2023-12-29 06:16:10.821384 - Person: Another, Confidence: 4%
2023-12-29 06:16:10.932932 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:10.937935 - Person: Someone, Confidence: 6%
2023-12-29 06:16:10.941929 - Person: Another, Confidence: 2%
2023-12-29 06:16:11.037930 - Person: Hieu, Confidence: 7%
2023-12-29 06:16:11.041928 - Person: Someone, Confidence: 4%
2023-12-29 06:16:11.045928 - Person: Another, Confidence: 2%
2023-12-29 06:16:11.153440 - Person: Hieu, Confidence: 6%
2023-12-29 06:16:11.157438 - Person: Someone, Confidence: 6%
2023-12-29 06:16:11.162443 - Person: Another, Confidence: 5%
2023-12-29 06:16:11.279438 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:11.283439 - Person: Another, Confidence: 2%
2023-12-29 06:16:11.287441 - Person: Someone, Confidence: 4%
2023-12-29 06:16:11.392442 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:11.395438 - Person: Someone, Confidence: 9%
2023-12-29 06:16:11.399438 - Person: Another, Confidence: 5%
2023-12-29 06:16:11.490441 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:11.494440 - Person: Someone, Confidence: 9%
2023-12-29 06:16:11.497910 - Person: Another, Confidence: 5%
2023-12-29 06:16:11.591926 - Person: Hieu, Confidence: 14%
2023-12-29 06:16:11.595924 - Person: Someone, Confidence: 9%
2023-12-29 06:16:11.598927 - Person: Another, Confidence: 5%
2023-12-29 06:16:11.703437 - Person: Someone, Confidence: 5%
2023-12-29 06:16:11.707434 - Person: Another, Confidence: 2%
2023-12-29 06:16:11.793435 - Person: Hieu, Confidence: 5%
2023-12-29 06:16:11.797460 - Person: Someone, Confidence: 9%
2023-12-29 06:16:11.801458 - Person: Another, Confidence: 3%
2023-12-29 06:16:11.884435 - Person: Hieu, Confidence: 7%
2023-12-29 06:16:11.888431 - Person: Someone, Confidence: 8%
2023-12-29 06:16:11.892434 - Person: Another, Confidence: 2%
2023-12-29 06:16:11.989431 - Person: Someone, Confidence: 6%
2023-12-29 06:16:11.994435 - Person: Another, Confidence: 3%
2023-12-29 06:16:12.098433 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:12.102436 - Person: Someone, Confidence: 1%
2023-12-29 06:16:12.106434 - Person: Unknown, Confidence: -1%
2023-12-29 06:16:12.202437 - Person: Hieu, Confidence: 6%
2023-12-29 06:16:12.206438 - Person: Someone, Confidence: 7%
2023-12-29 06:16:12.209432 - Person: Another, Confidence: 3%
2023-12-29 06:16:12.300435 - Person: Unknown, Confidence: -1%
2023-12-29 06:16:12.304435 - Person: Someone, Confidence: 1%
2023-12-29 06:16:12.308436 - Person: Another, Confidence: 6%
2023-12-29 06:16:12.395438 - Person: Someone, Confidence: 8%
2023-12-29 06:16:12.398434 - Person: Another, Confidence: 7%
2023-12-29 06:16:12.488950 - Person: Hieu, Confidence: 6%
2023-12-29 06:16:12.491949 - Person: Unknown, Confidence: -16%
2023-12-29 06:16:12.494949 - Person: Another, Confidence: 5%
2023-12-29 06:16:12.586926 - Person: Hieu, Confidence: 8%
2023-12-29 06:16:12.590926 - Person: Someone, Confidence: 8%
2023-12-29 06:16:12.593924 - Person: Another, Confidence: 4%
2023-12-29 06:16:12.679923 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:12.683924 - Person: Someone, Confidence: 4%
2023-12-29 06:16:12.687926 - Person: Another, Confidence: 4%
2023-12-29 06:16:12.776920 - Person: Hieu, Confidence: 8%
2023-12-29 06:16:12.780923 - Person: Someone, Confidence: 4%
2023-12-29 06:16:12.783921 - Person: Another, Confidence: 2%
2023-12-29 06:16:12.872922 - Person: Someone, Confidence: 7%
2023-12-29 06:16:12.876925 - Person: Unknown, Confidence: -31%
2023-12-29 06:16:12.970924 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:12.974928 - Person: Unknown, Confidence: -18%
2023-12-29 06:16:12.977924 - Person: Another, Confidence: 3%
2023-12-29 06:16:13.071922 - Person: Hieu, Confidence: 8%
2023-12-29 06:16:13.076922 - Person: Someone, Confidence: 8%
2023-12-29 06:16:13.080927 - Person: Another, Confidence: 3%
2023-12-29 06:16:13.180973 - Person: Hieu, Confidence: 9%
2023-12-29 06:16:13.184919 - Person: Someone, Confidence: 9%
2023-12-29 06:16:13.187923 - Person: Another, Confidence: 4%
2023-12-29 06:16:13.283929 - Person: Hieu, Confidence: 14%
2023-12-29 06:16:13.286923 - Person: Unknown, Confidence: -18%
2023-12-29 06:16:13.289922 - Person: Another, Confidence: 3%
2023-12-29 06:16:13.383435 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:13.387439 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:13.471435 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:13.475437 - Person: Hieu, Confidence: 7%
2023-12-29 06:16:13.478435 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:13.566436 - Person: Unknown, Confidence: -16%
2023-12-29 06:16:13.570438 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:13.663438 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:13.666438 - Person: Someone, Confidence: 4%
2023-12-29 06:16:13.758436 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:13.761434 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:13.854540 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:13.857538 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:13.948542 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:13.952547 - Person: Unknown, Confidence: -39%
2023-12-29 06:16:14.053490 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:14.057487 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:14.142484 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:14.145482 - Person: Unknown, Confidence: -21%
2023-12-29 06:16:14.148484 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:14.232967 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:14.235966 - Person: Unknown, Confidence: -51%
2023-12-29 06:16:14.334939 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:14.338942 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:14.429940 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:14.432938 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:14.527943 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:14.531941 - Person: Unknown, Confidence: -26%
2023-12-29 06:16:14.627949 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:14.631937 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:14.715414 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:14.719417 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:14.802419 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:14.805420 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:14.885442 - Person: Unknown, Confidence: -19%
2023-12-29 06:16:14.888441 - Person: Unknown, Confidence: -21%
2023-12-29 06:16:14.974414 - Person: Unknown, Confidence: -40%
2023-12-29 06:16:14.978424 - Person: Unknown, Confidence: -18%
2023-12-29 06:16:15.056423 - Person: Unknown, Confidence: -32%
2023-12-29 06:16:15.060419 - Person: Unknown, Confidence: -20%
2023-12-29 06:16:15.133415 - Person: Unknown, Confidence: -21%
2023-12-29 06:16:15.212933 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:15.215935 - Person: Unknown, Confidence: -41%
2023-12-29 06:16:15.293949 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:15.375940 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:15.444936 - Person: Unknown, Confidence: -26%
2023-12-29 06:16:15.524932 - Person: Unknown, Confidence: -18%
2023-12-29 06:16:15.674961 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:15.747933 - Person: Unknown, Confidence: -52%
2023-12-29 06:16:15.846941 - Person: Unknown, Confidence: -17%
2023-12-29 06:16:15.930934 - Person: Unknown, Confidence: -36%
2023-12-29 06:16:16.009940 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:16.315936 - Person: Unknown, Confidence: -71%
2023-12-29 06:16:16.469938 - Person: Unknown, Confidence: -35%
2023-12-29 06:16:16.562937 - Person: Unknown, Confidence: -47%
2023-12-29 06:16:16.652490 - Person: Unknown, Confidence: -39%
2023-12-29 06:16:16.730483 - Person: Unknown, Confidence: -31%
2023-12-29 06:16:16.815481 - Person: Unknown, Confidence: -52%
2023-12-29 06:16:17.048482 - Person: Unknown, Confidence: -35%
2023-12-29 06:16:17.116481 - Person: Unknown, Confidence: -41%
2023-12-29 06:16:17.202481 - Person: Unknown, Confidence: -56%
2023-12-29 06:16:17.340481 - Person: Unknown, Confidence: -22%
2023-12-29 06:16:17.423484 - Person: Unknown, Confidence: -21%
2023-12-29 06:16:17.499481 - Person: Unknown, Confidence: -28%
2023-12-29 06:16:17.915392 - Person: Unknown, Confidence: -40%
2023-12-29 06:16:18.002395 - Person: Unknown, Confidence: -37%
2023-12-29 06:16:18.082392 - Person: Unknown, Confidence: -29%
2023-12-29 06:16:18.172393 - Person: Unknown, Confidence: -33%
2023-12-29 06:16:18.241391 - Person: Unknown, Confidence: -32%
2023-12-29 06:16:18.328395 - Person: Unknown, Confidence: -33%
2023-12-29 06:16:18.409392 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:18.493396 - Person: Unknown, Confidence: -23%
2023-12-29 06:16:18.561396 - Person: Unknown, Confidence: -28%
2023-12-29 06:16:18.649398 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:18.727394 - Person: Unknown, Confidence: -39%
2023-12-29 06:16:18.806393 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:18.887400 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:18.964422 - Person: Unknown, Confidence: -32%
2023-12-29 06:16:19.052830 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:19.203831 - Person: Unknown, Confidence: -31%
2023-12-29 06:16:19.286893 - Person: Unknown, Confidence: -35%
2023-12-29 06:16:19.372830 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:19.454852 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:19.538826 - Person: Unknown, Confidence: -33%
2023-12-29 06:16:19.603829 - Person: Unknown, Confidence: -29%
2023-12-29 06:16:19.688824 - Person: Unknown, Confidence: -31%
2023-12-29 06:16:19.759145 - Person: Unknown, Confidence: -29%
2023-12-29 06:16:19.848144 - Person: Unknown, Confidence: -39%
2023-12-29 06:16:19.930147 - Person: Unknown, Confidence: -30%
2023-12-29 06:16:20.005143 - Person: Unknown, Confidence: -33%
2023-12-29 06:16:20.083143 - Person: Unknown, Confidence: -77%
2023-12-29 06:16:20.298149 - Person: Unknown, Confidence: -39%
2023-12-29 06:16:20.377146 - Person: Unknown, Confidence: -30%
2023-12-29 06:16:20.461141 - Person: Unknown, Confidence: -66%
2023-12-29 06:16:20.661656 - Person: Unknown, Confidence: -23%
2023-12-29 06:16:20.740656 - Person: Unknown, Confidence: -22%
2023-12-29 06:16:20.832681 - Person: Unknown, Confidence: -26%
2023-12-29 06:16:20.913681 - Person: Unknown, Confidence: -19%
2023-12-29 06:16:20.988656 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:20.991681 - Person: Hieu, Confidence: 0%
2023-12-29 06:16:20.994681 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:21.090655 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:21.093652 - Person: Unknown, Confidence: -17%
2023-12-29 06:16:21.177653 - Person: Someone, Confidence: 1%
2023-12-29 06:16:21.181682 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:21.252656 - Person: Someone, Confidence: 0%
2023-12-29 06:16:21.255656 - Person: Unknown, Confidence: -23%
2023-12-29 06:16:21.335682 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:21.339656 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:21.418662 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:21.422659 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:21.513659 - Person: Someone, Confidence: 9%
2023-12-29 06:16:21.516654 - Person: Another, Confidence: 3%
2023-12-29 06:16:21.605658 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:21.608681 - Person: Unknown, Confidence: -26%
2023-12-29 06:16:21.689165 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:21.692164 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:21.791138 - Person: Unknown, Confidence: -39%
2023-12-29 06:16:21.794136 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:21.888139 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:21.892165 - Person: Someone, Confidence: 7%
2023-12-29 06:16:21.983631 - Person: Unknown, Confidence: -14%
